Completed Date , Description , Paid Out (GBP) , Paid In (GBP) , Exchange Out, Exchange In, Balance (GBP), Category, Notes
20-Jul-18, To Holidays   ,0.4,  ,  ,  ,252.12, transfers, 
19-Jul-18, To Holidays   ,1.8,  ,  ,  ,252.52, transfers, 
19-Jul-18, From Robert Mois  ,  ,6.9,  ,  ,254.32, transfers, 
19-Jul-18, To Holidays   ,1.1,  ,  ,  ,247.42, transfers, 
19-Jul-18, To Holidays   ,0.2,  ,  ,  ,248.52, transfers, 
19-Jul-18, To Holidays   ,0.6,  ,  ,  ,248.72, transfers, 
19-Jul-18, To Holidays   ,0.6,  ,  ,  ,249.32, transfers, 
19-Jul-18, Housekeeep  ,63.25,  ,  ,  ,249.92, services, 
19-Jul-18, The Swan Tavern  ,14.6,  ,  ,  ,313.17, restaurants, 
19-Jul-18, The Swan Tavern  ,14.6,  ,  ,  ,327.77, restaurants, 
19-Jul-18, The Swan Tavern  ,7.3,  ,  ,  ,342.37, restaurants, 
19-Jul-18, Deutsche Bank  ,6.05,  ,  ,  ,349.67, restaurants, 
19-Jul-18, Pilpel  ,31.15,  ,  ,  ,355.72, restaurants, 
18-Jul-18, To Gianluigi Coccia  ,10,  ,  ,  ,386.87, transfers, 
18-Jul-18, To Holidays   ,0.7,  ,  ,  ,396.87, transfers, 
18-Jul-18, To Holidays   ,1,  ,  ,  ,397.57, transfers, 
18-Jul-18, To Holidays   ,0.7,  ,  ,  ,398.57, transfers, 
18-Jul-18, Deutsche Bank  ,3,  ,  ,  ,399.27, restaurants, 
18-Jul-18, Deutsche Bank  ,0.9,  ,  ,  ,402.27, restaurants, 
18-Jul-18, Piada Bar  ,9.2,  ,  ,  ,403.17, restaurants, 
18-Jul-18, Deutsche Bank  ,8.3,  ,  ,  ,412.37, restaurants, 
18-Jul-18, To Holidays   ,0.1,  ,  ,  ,420.67, transfers, 
18-Jul-18, To Holidays   ,0.3,  ,  ,  ,420.77, transfers, 
18-Jul-18, To Holidays   ,0.4,  ,  ,  ,421.07, transfers, 
17-Jul-18, To Holidays   ,1.5,  ,  ,  ,421.47, transfers, 
17-Jul-18, To Holidays   ,0.8,  ,  ,  ,422.97, transfers, 
17-Jul-18, To Holidays   ,1.4,  ,  ,  ,423.77, transfers, 
17-Jul-18, To Holidays   ,0.8,  ,  ,  ,425.17, transfers, 
17-Jul-18, From Robert Mois  ,  ,6.6,  ,  ,425.97, transfers, 
17-Jul-18, From Susanna Hassinen  ,  ,6,  ,  ,419.37, transfers, 
17-Jul-18, From Thomas Konig  ,  ,6.7,  ,  ,413.37, transfers, 
17-Jul-18, To Holidays   ,1.7,  ,  ,  ,406.67, transfers, 
17-Jul-18, Cash at Royal Bank of Scotland  ,10,  ,  ,  ,408.37, cash, 
17-Jul-18, La Petite Poissonnerie  ,11.2,  ,  ,  ,418.37, groceries, 
17-Jul-18, The Good Egg  ,21.04,  ,  ,  ,429.57, restaurants, 
17-Jul-18, Tesco Superstore  ,7.75,  ,  ,  ,450.61, groceries, 
17-Jul-18, Tesco Superstore  ,0.1,  ,  ,  ,458.36, groceries, 
17-Jul-18, Primrose Bakery  ,2,  ,  ,  ,458.46, groceries, 
17-Jul-18, Hilco Supermarket Limited  ,4.57,  ,  ,  ,460.46, groceries, 
17-Jul-18, To Holidays   ,1.9,  ,  ,  ,465.03, transfers, 
16-Jul-18, To Holidays   ,2,  ,  ,  ,466.93, transfers, 
16-Jul-18, To Holidays   ,0.2,  ,  ,  ,468.93, transfers, 
16-Jul-18, To Holidays   ,1.4,  ,  ,  ,469.13, transfers, 
16-Jul-18, Mandarin Oriental Hyde Park. London  ,7.45,  ,  ,  ,470.53, restaurants, 
16-Jul-18, sketch  ,31.5,  ,  ,  ,477.98, restaurants, 
16-Jul-18, Uber Eats  ,7.28,  ,  ,  ,509.48, transport, 
16-Jul-18, Waitrose  ,0.69,  ,  ,  ,516.76, groceries, 
16-Jul-18, Tesco Superstore  ,12.93,  ,  ,  ,517.45, groceries, 
16-Jul-18, TortelliniCup London  ,9.2,  ,  ,  ,530.38, restaurants, 
16-Jul-18, Va Swiss Cottage  ,138,  ,  ,  ,539.58, entertainment, 
16-Jul-18, Mandarin Oriental Hyde Park. London  ,7.65,  ,  ,  ,677.58, restaurants, 
16-Jul-18, To Holidays   ,1.6,  ,  ,  ,685.23, transfers, 
15-Jul-18, To Holidays   ,1.92,  ,  ,  ,686.83, transfers, 
15-Jul-18, To Wioleta Bogalecka  ,100,  ,  ,  ,688.75, transfers, 
15-Jul-18, Payment from L Maresca  ,  ,500,  ,  ,788.75, general, MONEY TRANSFER
15-Jul-18, To Wioleta Bogalecka  ,611.25,  ,  ,  ,288.75, transfers, 
15-Jul-18, To Holidays   ,1.8,  ,  ,  ,900, transfers, 
15-Jul-18, To Holidays   ,0.5,  ,  ,  ,901.8, transfers, 
15-Jul-18, To Holidays   ,2,  ,  ,  ,902.3, transfers, 
15-Jul-18, To Holidays   ,1.6,  ,  ,  ,904.3, transfers, 
15-Jul-18, Maddox Club  ,50,  ,  ,  ,905.9, restaurants, 
15-Jul-18, Bierschenke  ,16.1,  ,  ,  ,955.9, restaurants, 
15-Jul-18, Bierschenke  ,6,  ,  ,  ,972, restaurants, 
14-Jul-18, To Holidays   ,0.14,  ,  ,  ,978, transfers, 
14-Jul-18, To Holidays   ,0.86,  ,  ,  ,978.14, transfers, 
14-Jul-18, To Holidays   ,0.7,  ,  ,  ,979, transfers, 
14-Jul-18, To Holidays   ,1.1,  ,  ,  ,979.7, transfers, 
14-Jul-18, To Holidays   ,0.62,  ,  ,  ,980.8, transfers, 
14-Jul-18, To Holidays   ,1.6,  ,  ,  ,981.42, transfers, 
14-Jul-18, To Holidays   ,2,  ,  ,  ,983.02, transfers, 
14-Jul-18, To Holidays   ,1.44,  ,  ,  ,985.02, transfers, 
14-Jul-18, To Holidays   ,0.4,  ,  ,  ,986.46, transfers, 
14-Jul-18, Transport for London  ,6.8,  ,  ,  ,986.86, transport, 
14-Jul-18, To Holidays   ,2,  ,  ,  ,993.66, transfers, 
13-Jul-18, To Holidays   ,1,  ,  ,  ,995.66, transfers, 
13-Jul-18, To Holidays   ,1.8,  ,  ,  ,996.66, transfers, 
13-Jul-18, To Holidays   ,2,  ,  ,  ,998.46, transfers, 
13-Jul-18, Payment from L Maresca  ,  ,1,,,,,
13-Jul-18, Birleys Sandwiches  ,6.25,  ,  ,  ,0.46, restaurants, 
12-Jul-18, From Holidays   ,  ,1.5,  ,  ,6.71, transfers, 
12-Jul-18, Transport for London  ,4.8,  ,  ,  ,5.21, transport, 
12-Jul-18, Deutsche Bank  ,6.5,  ,  ,  ,10.01, restaurants, 
12-Jul-18, pod  ,7.87,  ,  ,  ,16.51, restaurants, 
11-Jul-18, Cash at Lloyds Banking Group Offices  ,20,  ,  ,  ,24.38, cash, 
11-Jul-18, Hilco Supermarket Limited  ,16.96,  ,  ,  ,44.38, groceries, 
11-Jul-18, To Holidays   ,1.5,  ,  ,  ,61.34, transfers, 
10-Jul-18, From Holidays   ,  ,4.92,  ,  ,62.84, transfers, 
10-Jul-18, To Holidays   ,0.26,  ,  ,  ,57.92, transfers, 
10-Jul-18, To Holidays   ,0.6,  ,  ,  ,58.18, transfers, 
10-Jul-18, Espressamente Illy Coffee Shop. London  ,4.8,  ,  ,  ,58.78, restaurants, 
10-Jul-18, To Holidays   ,1,  ,  ,  ,63.58, transfers, 
10-Jul-18, Transport for London  ,1.7,  ,  ,  ,64.58, transport, 
10-Jul-18, Halfords  ,4.8,  ,  ,  ,66.28, transport, 
10-Jul-18, Buongiorno e Buonasera  ,6.11,  ,  ,  ,71.08, restaurants, 
10-Jul-18, Royal Exchange Grind  ,12.45,  ,  ,  ,77.19, restaurants, 
09-Jul-18, To Holidays   ,0.08,  ,  ,  ,89.64, transfers, 
09-Jul-18, To Holidays   ,0.4,  ,  ,  ,89.72, transfers, 
09-Jul-18, Whole Foods Market  ,3.99,  ,  ,  ,90.12, groceries, 
09-Jul-18, Transport for London  ,6.8,  ,  ,  ,94.11, transport, 
09-Jul-18, Uber Eats  ,15.29,  ,  ,  ,100.91, transport, 
09-Jul-18, Drunch  ,14.26,  ,  ,  ,116.2, restaurants, 
09-Jul-18, Santander Cycle Hire  ,2,  ,  ,  ,130.46, transport, 
09-Jul-18, Transport for London  ,6.8,  ,  ,  ,132.46, transport, 
09-Jul-18, Regent News  ,8.5,  ,  ,  ,139.26, shopping, 
09-Jul-18, Tesco Express  ,7.1,  ,  ,  ,147.76, groceries, 
09-Jul-18, Cargo  ,20,  ,  ,  ,154.86, restaurants, 
08-Jul-18, To Holidays   ,1.78,  ,  ,  ,174.86, transfers, 
08-Jul-18, To Holidays   ,0.4,  ,  ,  ,176.64, transfers, 
08-Jul-18, To Holidays   ,0.4,  ,  ,  ,177.04, transfers, 
08-Jul-18, Tesco Express  ,9.45,  ,  ,  ,177.44, groceries, 
08-Jul-18, White Horse Kebab House London  ,15,  ,  ,  ,186.89, restaurants, 
08-Jul-18, From Holidays   ,  ,49.68,  ,  ,201.89, transfers, 
08-Jul-18, To Holidays   ,0.4,  ,  ,  ,152.21, transfers, 
08-Jul-18, To Holidays   ,1.42,  ,  ,  ,152.61, transfers, 
07-Jul-18, From Holidays   ,  ,50,  ,  ,154.03, transfers, 
07-Jul-18, To Holidays   ,1.48,  ,  ,  ,104.03, transfers, 
07-Jul-18, To Holidays   ,2,  ,  ,  ,105.51, transfers, 
07-Jul-18, To Holidays   ,1,  ,  ,  ,107.51, transfers, 
07-Jul-18, To Holidays   ,0.02,  ,  ,  ,108.51, transfers, 
07-Jul-18, To Holidays   ,1.8,  ,  ,  ,108.53, transfers, 
07-Jul-18, To Holidays   ,0.4,  ,  ,  ,110.33, transfers, 
07-Jul-18, Transport for London  ,4.8,  ,  ,  ,110.73, transport, 
07-Jul-18, Chilango  ,29.7,  ,  ,  ,115.53, restaurants, 
07-Jul-18, To Holidays   ,2,  ,  ,  ,145.23, transfers, 
06-Jul-18, To Holidays   ,1.1,  ,  ,  ,147.23, transfers, 
06-Jul-18, To Holidays   ,1.1,  ,  ,  ,148.33, transfers, 
06-Jul-18, Transport for London  ,6.8,  ,  ,  ,149.43, transport, 
05-Jul-18, To Holidays   ,2,  ,  ,  ,156.23, transfers, 
05-Jul-18, To Holidays   ,0.6,  ,  ,  ,158.23, transfers, 
05-Jul-18, Deutsche Bank  ,3.15,  ,  ,  ,158.83, restaurants, 
05-Jul-18, Pret A Manger  ,2.7,  ,  ,  ,161.98, restaurants, 
05-Jul-18, Tesco Superstore  ,6.05,  ,  ,  ,164.68, groceries, 
05-Jul-18, To Holidays   ,0.4,  ,  ,  ,170.73, transfers, 
05-Jul-18, Transport for London  ,4.8,  ,  ,  ,171.13, transport, 
05-Jul-18, To Holidays   ,0.4,  ,  ,  ,175.93, transfers, 
04-Jul-18, Payment from L Maresca  ,  ,119,  ,  ,176.33, general, MONEY TRANSFER
04-Jul-18, MW Eat  ,33.2,  ,  ,  ,57.33, restaurants, 
04-Jul-18, itsu  ,10.79,  ,  ,  ,90.53, restaurants, 
04-Jul-18, Deutsche Bank  ,0.7,  ,  ,  ,101.32, groceries, 
04-Jul-18, Transport for London  ,4.8,  ,  ,  ,102.02, transport, 
03-Jul-18, To Holidays   ,1.9,  ,  ,  ,106.82, transfers, 
03-Jul-18, To Holidays   ,1.7,  ,  ,  ,108.72, transfers, 
03-Jul-18, To Holidays   ,0.6,  ,  ,  ,110.42, transfers, 
02-Jul-18, To Holidays   ,0.42,  ,  ,  ,111.02, transfers, 
02-Jul-18, To Holidays   ,0.6,  ,  ,  ,111.44, transfers, 
02-Jul-18, Uber Eats  ,16.92,  ,  ,  ,112.04, transport, 
02-Jul-18, UNIQLO Europe Limited  ,34.9,  ,  ,  ,128.96, shopping, 
02-Jul-18, Santa Maria  ,34.82,  ,  ,  ,163.86, restaurants, 
02-Jul-18, Buongiorno e Buonasera  ,6.79,  ,  ,  ,198.68, restaurants, 
01-Jul-18, To Holidays   ,1.6,  ,  ,  ,205.47, transfers, 
01-Jul-18, To Lorenz Maresca  ,300,  ,  ,  ,207.07, transfers, 
01-Jul-18, To Holidays   ,0.4,  ,  ,  ,507.07, transfers, 
01-Jul-18, To Holidays   ,0.9,  ,  ,  ,507.47, transfers, 
01-Jul-18, To Christopher Maclean  ,1,,,,,,
01-Jul-18, Cash at Sainsbury's Bank  ,20,  ,  ,  ,1,,
01-Jul-18, Transport for London  ,6.8,  ,  ,  ,1,,
01-Jul-18, Deutsche Bank  ,0.7,  ,  ,  ,1,,
01-Jul-18, Transport for London  ,4.8,  ,  ,  ,1,,
01-Jul-18, Deutsche Bank  ,2.55,  ,  ,  ,1,,
30-Jun-18, To Holidays   ,1.5,  ,  ,  ,1,,
30-Jun-18, To Holidays   ,1.5,  ,  ,  ,1,,
30-Jun-18, To Holidays   ,0.2,  ,  ,  ,1,,
30-Jun-18, To Holidays   ,0.42,  ,  ,  ,1,,
30-Jun-18, Tesco Superstore  ,3.29,  ,  ,  ,1,,
30-Jun-18, Payment from L Maresca  ,  ,400,  ,  ,1,,
30-Jun-18, To Holidays   ,0.4,  ,  ,  ,1,,
30-Jun-18, To Holidays   ,0.16,  ,  ,  ,1,,
29-Jun-18, Exchange  to GBP FX Rate £1 = €1.1286 ,  ,703.48,  EUR 794.00 ,  ,1,,
29-Jun-18, To Holidays   ,0.36,  ,  ,  ,847.21, transfers, 
29-Jun-18, Payment from Iwoca Ltd  ,  ,820.94,  ,  ,847.57, general, IWOCA SALARY
29-Jun-18, To Holidays   ,0.6,  ,  ,  ,26.63, transfers, 
29-Jun-18, The Fine Line  ,10.05,  ,  ,  ,27.23, restaurants, 
29-Jun-18, Transport for London  ,5.8,  ,  ,  ,37.28, transport, 
29-Jun-18, To Holidays   ,0.9,  ,  ,  ,43.08, transfers, 
28-Jun-18, From Holidays   ,  ,10,  ,  ,43.98, transfers, 
28-Jun-18, From Holidays   ,  ,10,  ,  ,33.98, transfers, 
28-Jun-18, To Holidays   ,1.42,  ,  ,  ,23.98, transfers, 
28-Jun-18, Cash at Cash Converters - Kilb2  ,11.95,  ,  ,  ,25.4, cash, 
27-Jun-18, To Holidays   ,1.9,  ,  ,  ,37.35, transfers, 
27-Jun-18, To Holidays   ,0.4,  ,  ,  ,39.25, transfers, 
27-Jun-18, Transport for London  ,6.8,  ,  ,  ,39.65, transport, 
27-Jun-18, Birleys Sandwiches  ,2.25,  ,  ,  ,46.45, restaurants, 
27-Jun-18, Caffè Nero  ,1.75,  ,  ,  ,48.7, restaurants, 
27-Jun-18, To Holidays   ,0.4,  ,  ,  ,50.45, transfers, 
26-Jun-18, To Lorenz Maresca  ,25,  ,  ,  ,50.85, transfers, 
26-Jun-18, TortelliniCup London  ,12.5,  ,  ,  ,75.85, restaurants, 
26-Jun-18, SOHO Coffee Co  ,5.94,  ,  ,  ,88.35, restaurants, 
25-Jun-18, To Lorenz Maresca  ,15,  ,  ,  ,94.29, transfers, 
25-Jun-18, To Holidays   ,0.5,  ,  ,  ,109.29, transfers, 
25-Jun-18, To Holidays   ,1.2,  ,  ,  ,109.79, transfers, 
25-Jun-18, Transport for London  ,2.4,  ,  ,  ,110.99, transport, 
25-Jun-18, Buongiorno e Buonasera  ,7.38,  ,  ,  ,113.39, restaurants, 
25-Jun-18, Courthouse Hotel  ,15.75,  ,  ,  ,120.77, travel, 
25-Jun-18, Boots  ,0.8,  ,  ,  ,136.52, health, 
25-Jun-18, sketch  ,19.69,  ,  ,  ,137.32, restaurants, 
25-Jun-18, To Holidays   ,1.5,  ,  ,  ,157.01, transfers, 
24-Jun-18, To Holidays   ,1,  ,  ,  ,158.51, transfers, 
24-Jun-18, To Holidays   ,0.12,  ,  ,  ,159.51, transfers, 
24-Jun-18, To Lorenz Maresca  ,40,  ,  ,  ,159.63, transfers, 
24-Jun-18, Uber Eats  ,20.8,  ,  ,  ,199.63, transport, 
24-Jun-18, London Stansted Airport  ,17,  ,  ,  ,220.43, transport, 
24-Jun-18, Transport for London  ,4.4,  ,  ,  ,237.43, transport, 
24-Jun-18, Sainsbury's  ,0.5,  ,  ,  ,241.83, groceries, 
23-Jun-18, To Paolo Schiavone  ,12.5,  ,  ,  ,242.33, transfers, 
23-Jun-18, Exchange  to GBP FX Rate £1 = €1.1423 ,  ,153.1,  EUR 174.90 ,  ,254.83, general, 
23-Jun-18, To Holidays   ,0.5,  ,  ,  ,101.73, transfers, 
23-Jun-18, To Holidays   ,0.4,  ,  ,  ,102.23, transfers, 
23-Jun-18, To Holidays   ,1.24,  ,  ,  ,102.63, transfers, 
23-Jun-18, To Holidays   ,1.2,  ,  ,  ,103.87, transfers, 
23-Jun-18, To Holidays   ,0.4,  ,  ,  ,105.07, transfers, 
23-Jun-18, To Holidays   ,0.62,  ,  ,  ,105.47, transfers, 
22-Jun-18, To Holidays   ,1,  ,  ,  ,106.09, transfers, 
22-Jun-18, To Holidays   ,2,  ,  ,  ,107.09, transfers, 
11-Jun-18, To Lorenz Maresca  ,50,  ,  ,  ,109.09, transfers, 
11-Jun-18, Exchange  to GBP FX Rate £1 = €1.1344 ,  ,158.66,  EUR 180.00 ,  ,159.09, general, 
07-Jun-18, Cash at Lloyds Banking Group Offices  ,20,  ,  ,  ,0.43, cash, 
06-Jun-18, Buongiorno e Buonasera  ,13.04,  ,  ,  ,20.43, restaurants, 
06-Jun-18, Lido Bar and Cafe  ,5,  ,  ,  ,33.47, restaurants, 
06-Jun-18, Creative Mobile Technologies (UK) Ltd  ,11,  ,  ,  ,38.47, transport, 
06-Jun-18, PAUL  ,5.25,  ,  ,  ,49.47, restaurants, 
05-Jun-18, To Holidays   ,0.6,  ,  ,  ,54.72, transfers, 
05-Jun-18, Transport for London  ,2.4,  ,  ,  ,55.32, transport, 
05-Jun-18, Starbucks  ,1.8,  ,  ,  ,57.72, restaurants, 
03-Jun-18, To Holidays   ,0.96,  ,  ,  ,59.52, transfers, 
03-Jun-18, To Holidays   ,0.75,  ,  ,  ,60.48, transfers, 
03-Jun-18, Anglesea Arms  ,7.9,  ,  ,  ,61.23, restaurants, 
03-Jun-18, Anglesea Arms  ,7.9,  ,  ,  ,69.13, restaurants, 
03-Jun-18, To Holidays   ,0.75,  ,  ,  ,77.03, transfers, 
03-Jun-18, Tesco Superstore  ,4.25,  ,  ,  ,77.78, groceries, 
03-Jun-18, To Holidays   ,0.25,  ,  ,  ,82.03, transfers, 
03-Jun-18, Starbucks Coffee  ,3.75,  ,  ,  ,82.28, restaurants, 
03-Jun-18, Sainsbury's  ,45.51,  ,  ,  ,86.03, groceries, 
03-Jun-18, TortelliniCup London  ,60,  ,  ,  ,131.54, restaurants, 
03-Jun-18, To Holidays   ,1,  ,  ,  ,191.54, transfers, 
02-Jun-18, Exchange  to GBP FX Rate £1 = €1.1491 ,  ,43.51,  EUR 50.00 ,  ,192.54, general, 
02-Jun-18, To Holidays   ,0.2,  ,  ,  ,149.03, transfers, 
02-Jun-18, To Holidays   ,1,  ,  ,  ,149.23, transfers, 
01-Jun-18, To Holidays   ,0.49,  ,  ,  ,150.23, transfers, 
01-Jun-18, To Holidays   ,1,  ,  ,  ,150.72, transfers, 
01-Jun-18, Exchange  to GBP FX Rate £1 = €1.1458 ,  ,130.9,  EUR 150.00 ,  ,151.72, general, 
01-Jun-18, Sainsbury's  ,40,  ,  ,  ,20.82, groceries, 
31-May-18, Cash at Royal Bank of Scotland  ,10,  ,  ,  ,60.82, cash, 
31-May-18, Transport for London  ,5.5,  ,  ,  ,70.82, transport, 
31-May-18, To Christopher Maclean  ,1,,,,,,
31-May-18, To Holidays   ,0.1,  ,  ,  ,1,,
31-May-18, Payment from Iwoca Ltd  ,  ,1,,,,,
31-May-18, To Holidays   ,0.1,  ,  ,  ,353.24, transfers, 
31-May-18, SOHO Coffee Co  ,1.7,  ,  ,  ,353.34, restaurants, 
31-May-18, Hilco Supermarket Limited  ,15.44,  ,  ,  ,355.04, groceries, 
31-May-18, TortelliniCup London  ,4.5,  ,  ,  ,370.48, restaurants, 
30-May-18, To Holidays   ,1,  ,  ,  ,374.98, transfers, 
29-May-18, To Luca Mircoli  ,10,  ,  ,  ,375.98, transfers, 
29-May-18, To Lorenz Maresca  ,20,  ,  ,  ,385.98, transfers, 
29-May-18, To Holidays   ,0.5,  ,  ,  ,405.98, transfers, 
28-May-18, TortelliniCup London  ,6.1,  ,  ,  ,406.48, restaurants, 
28-May-18, Nyx healthyvendingco  ,1.4,  ,  ,  ,412.58, groceries, 
28-May-18, To Holidays   ,0.56,  ,  ,  ,413.98, transfers, 
28-May-18, To Holidays   ,0.3,  ,  ,  ,414.54, transfers, 
28-May-18, To Holidays   ,0.5,  ,  ,  ,414.84, transfers, 
28-May-18, Payment from L Maresca  ,  ,400,  ,  ,415.34, general, MONEY TRANSFER
27-May-18, Cash at Lloyd Northover  ,20,  ,  ,  ,15.34, cash, 
27-May-18, Cash at Hv Thomas Chemist  ,10,  ,  ,  ,35.34, cash, 
27-May-18, All Bar One Oxford Street  ,6.4,  ,  ,  ,45.34, restaurants, 
27-May-18, All Bar One Oxford Street  ,5.5,  ,  ,  ,51.74, restaurants, 
26-May-18, To Holidays   ,0.6,  ,  ,  ,57.24, transfers, 
26-May-18, To Holidays   ,0.9,  ,  ,  ,57.84, transfers, 
26-May-18, TortelliniCup London  ,8.6,  ,  ,  ,58.74, restaurants, 
26-May-18, Park Plaza Sherlock Holmes London  ,5.4,  ,  ,  ,67.34, restaurants, 
25-May-18, Cash at Royal Bank of Scotland  ,10,  ,  ,  ,72.74, cash, 
25-May-18, Wasabi Sushi & Bento  ,8,  ,  ,  ,82.74, restaurants, 
25-May-18, To Holidays   ,0.5,  ,  ,  ,90.74, transfers, 
25-May-18, To Holidays   ,0.6,  ,  ,  ,91.24, transfers, 
24-May-18, Courthouse Hotel  ,31.5,  ,  ,  ,91.84, travel, 
24-May-18, Espressamente Illy Coffee Shop. London  ,3.8,  ,  ,  ,123.34, restaurants, 
24-May-18, To Holidays   ,0.4,  ,  ,  ,127.14, transfers, 
24-May-18, To Holidays   ,0.6,  ,  ,  ,127.54, transfers, 
23-May-18, To Holidays   ,1,  ,  ,  ,128.14, transfers, 
23-May-18, Shepherds Market Wine  ,35.44,  ,  ,  ,129.14, restaurants, 
23-May-18, Princi  ,29,  ,  ,  ,164.58, restaurants, 
23-May-18, One Stop  ,12.45,  ,  ,  ,193.58, groceries, 
23-May-18, Boots  ,2.85,  ,  ,  ,206.03, health, 
23-May-18, Tesco Superstore  ,10.45,  ,  ,  ,208.88, transport, 
22-May-18, From Luca Mircoli  ,  ,15.75,  ,  ,219.33, transfers, Courthouse Hotel
22-May-18, To Holidays   ,0.5,  ,  ,  ,203.58, transfers, 
22-May-18, To Holidays   ,0.2,  ,  ,  ,204.08, transfers, 
22-May-18, McDonald's  ,0.99,  ,  ,  ,204.28, restaurants, 
22-May-18, Iz *the Jewish Del  ,8,  ,  ,  ,205.27, restaurants, 
21-May-18, To Lorenz Maresca  ,20,  ,  ,  ,213.27, transfers, 
21-May-18, To Lorenz Maresca  ,35,  ,  ,  ,233.27, transfers, 
20-May-18, To Lorenz Maresca  ,100,  ,  ,  ,268.27, transfers, 
20-May-18, To Holidays   ,0.55,  ,  ,  ,368.27, transfers, 
20-May-18, To Holidays   ,0.56,  ,  ,  ,368.82, transfers, 
20-May-18, To Holidays   ,0.15,  ,  ,  ,369.38, transfers, 
20-May-18, To Luca Mircoli  ,11,  ,  ,  ,369.53, transfers, 
20-May-18, Negozio Classica  ,51.23,  ,  ,  ,380.53, restaurants, 
19-May-18, To Holidays   ,0.01,  ,  ,  ,431.76, transfers, 
19-May-18, To Holidays   ,1,  ,  ,  ,431.77, transfers, 
19-May-18, To Holidays   ,0.55,  ,  ,  ,432.77, transfers, 
19-May-18, To Holidays   ,1,  ,  ,  ,433.32, transfers, 
19-May-18, Sainsbury's  ,2,  ,  ,  ,434.32, groceries, 
18-May-18, To Holidays   ,0.77,  ,  ,  ,436.32, transfers, 
18-May-18, Exchange  to GBP FX Rate £1 = €1.1427 ,  ,434.92,  EUR 497.00 ,  ,437.09, general, 
18-May-18, Cash at Santander Plc (uk)  ,20,  ,  ,  ,2.17, cash, 
18-May-18, Marylebone  ,1.2,  ,  ,  ,22.17, restaurants, 
18-May-18, UoW  ,1.5,  ,  ,  ,23.37, restaurants, 
18-May-18, Park Plaza Sherlock Holmes London  ,7.02,  ,  ,  ,24.87, restaurants, 
18-May-18, Park Plaza Sherlock Holmes London  ,2.5,  ,  ,  ,31.89, restaurants, 
18-May-18, Park Plaza Sherlock Holmes London  ,3.5,  ,  ,  ,34.39, restaurants, 
17-May-18, Marylebone  ,3,  ,  ,  ,37.89, restaurants, 
17-May-18, Marylebone  ,1.2,  ,  ,  ,40.89, restaurants, 
17-May-18, Buongiorno e Buonasera  ,7.64,  ,  ,  ,42.09, restaurants, 
16-May-18, Buongiorno e Buonasera  ,9.08,  ,  ,  ,49.73, restaurants, 
16-May-18, Park Plaza Sherlock Holmes London  ,6,  ,  ,  ,58.81, restaurants, 
16-May-18, To Holidays   ,0.5,  ,  ,  ,64.81, transfers, 
16-May-18, To Holidays   ,0.8,  ,  ,  ,65.31, transfers, 
16-May-18, To Holidays   ,0.98,  ,  ,  ,66.11, transfers, 
16-May-18, To Holidays   ,0.5,  ,  ,  ,67.09, transfers, 
16-May-18, To Holidays   ,0.5,  ,  ,  ,67.59, transfers, 
16-May-18, Fucina  ,4,  ,  ,  ,68.09, restaurants, 
16-May-18, To Holidays   ,0.2,  ,  ,  ,72.09, transfers, 
16-May-18, Transport for London  ,4.8,  ,  ,  ,72.29, transport, 
16-May-18, Pret A Manger  ,1.99,  ,  ,  ,77.09, restaurants, 
16-May-18, Paperchase  ,5,  ,  ,  ,79.08, shopping, 
16-May-18, Marylebone High Street Express  ,0.89,  ,  ,  ,84.08, groceries, 
15-May-18, To Holidays   ,1,  ,  ,  ,84.97, transfers, 
15-May-18, To Holidays   ,0.8,  ,  ,  ,85.97, transfers, 
15-May-18, To Holidays   ,0.36,  ,  ,  ,86.77, transfers, 
15-May-18, Cash at Royal Bank of Scotland  ,20,  ,  ,  ,87.13, cash, 
15-May-18, Whole Foods Market  ,20,  ,  ,  ,107.13, groceries, 
15-May-18, From Luca Mircoli  ,  ,12,  ,  ,127.13, transfers, 
14-May-18, To Holidays   ,0.2,  ,  ,  ,115.13, transfers, 
14-May-18, To Holidays   ,0.92,  ,  ,  ,115.33, transfers, 
14-May-18, To Holidays   ,1,  ,  ,  ,116.25, transfers, 
14-May-18, To Lorenz Maresca  ,200,  ,  ,  ,117.25, transfers, 
14-May-18, Exchange  to GBP FX Rate £1 = €1.1337 ,  ,264.6,  EUR 300.00 ,  ,317.25, general, 
14-May-18, To Holidays   ,0.2,  ,  ,  ,52.65, transfers, 
14-May-18, To Holidays   ,0.2,  ,  ,  ,52.85, transfers, 
13-May-18, To Holidays   ,0.11,  ,  ,  ,53.05, transfers, 
13-May-18, To Holidays   ,0.65,  ,  ,  ,53.16, transfers, 
13-May-18, To Holidays   ,1,  ,  ,  ,53.81, transfers, 
13-May-18, To Holidays   ,0.01,  ,  ,  ,54.81, transfers, 
13-May-18, To Holidays   ,1,  ,  ,  ,54.82, transfers, 
13-May-18, To Lorenz Maresca  ,25,  ,  ,  ,55.82, transfers, 
13-May-18, Park Plaza Sherlock Holmes London  ,4.95,  ,  ,  ,80.82, restaurants, 
13-May-18, Park Plaza Sherlock Holmes London  ,11.07,  ,  ,  ,85.77, restaurants, 
13-May-18, Park Plaza Sherlock Holmes London  ,3.5,  ,  ,  ,96.84, restaurants, 
13-May-18, Park Plaza Sherlock Holmes London  ,3.9,  ,  ,  ,100.34, restaurants, 
